name,kind,xmin,ymin,zmin,xmax,ymax,zmax
J1_COIL,purchased_envelope,200.0,85.0,12.0,218.0,92.0,21.0
J2_LATCH,purchased_envelope,199.0,120.0,12.0,217.0,127.0,21.0
J3_CELL,purchased_envelope,82.0,119.0,12.0,100.0,126.0,21.0
J4_DECK,purchased_envelope,49.0,218.0,12.0,67.0,225.0,21.0
R3_lock_M3,purchased_envelope,212.0,47.70000076293945,19.0,215.0,50.70000076293945,22.0
R3_lock_M3.001,purchased_envelope,212.0,69.30000305175781,19.0,215.0,72.30000305175781,22.0
R3_lock_M3.002,purchased_envelope,230.0,47.70000076293945,19.0,233.0,50.70000076293945,22.0
R3_lock_M3.003,purchased_envelope,230.0,69.30000305175781,19.0,233.0,72.30000305175781,22.0
R3_keeper_blind_M2p5,purchased_envelope,244.75,53.25,69.79999542236328,247.25,55.75,75.5999984741211
R3_keeper_inside_head,purchased_envelope,243.64999389648438,52.150001525878906,67.80000305175781,248.35000610351562,56.849998474121094,69.80000305175781
R3_keeper_blind_M2p5.001,purchased_envelope,244.75,64.25,69.79999542236328,247.25,66.75,75.5999984741211
R3_keeper_inside_head.001,purchased_envelope,243.64999389648438,63.150001525878906,67.80000305175781,248.35000610351562,67.8499984741211,69.80000305175781
R3_deck_inside_M3,purchased_envelope,25.5,80.5,36.0,28.5,83.5,44.0
R3_deck_head,purchased_envelope,24.200000762939453,79.19999694824219,44.0,29.799999237060547,84.80000305175781,46.400001525878906
R3_deck_inside_M3.001,purchased_envelope,236.5,80.5,36.0,239.5,83.5,44.0
R3_deck_head.001,purchased_envelope,235.1999969482422,79.19999694824219,44.0,240.8000030517578,84.80000305175781,46.400001525878906
R3_deck_inside_M3.002,purchased_envelope,25.5,240.5,36.0,28.5,243.5,44.0
R3_deck_head.002,purchased_envelope,24.200000762939453,239.1999969482422,44.0,29.799999237060547,244.8000030517578,46.400001525878906
R3_deck_inside_M3.003,purchased_envelope,236.5,240.5,36.0,239.5,243.5,44.0
R3_deck_head.003,purchased_envelope,235.1999969482422,239.1999969482422,44.0,240.8000030517578,244.8000030517578,46.400001525878906
R3_cell_loaded_M6,purchased_envelope,117.94999694824219,154.6999969482422,30.0,128.5500030517578,165.3000030517578,50.95000076293945
R3_cell_loaded_M6.001,purchased_envelope,132.9499969482422,154.6999969482422,30.0,143.5500030517578,165.3000030517578,50.95000076293945
R3_cell_fixed_M6,purchased_envelope,117.94999694824219,48.70000076293945,0.40000057220458984,128.5500030517578,59.29999923706055,21.0
R3_cell_fixed_M6.001,purchased_envelope,132.9499969482422,48.70000076293945,0.40000057220458984,143.5500030517578,59.29999923706055,21.0
R3_panel_inside_M3,purchased_envelope,27.5,14.5,33.0,30.5,17.5,44.0
R3_panel_inside_head,purchased_envelope,26.200000762939453,13.199999809265137,44.0,31.799999237060547,18.799999237060547,46.400001525878906
R3_panel_inside_M3.001,purchased_envelope,233.5,14.5,33.0,236.5,17.5,44.0
R3_panel_inside_head.001,purchased_envelope,232.1999969482422,13.199999809265137,44.0,237.8000030517578,18.799999237060547,46.400001525878906
R3_optional_power_space,annotation,92.0,218.0,8.0,227.0,291.0,33.0
R3_single_weighing_tray,sheet_fabrication,24.0,8.0,48.0,237.5,316.0,51.0
R3_cell_fixed_pedestal,metal_fabrication,112.75,42.0,6.0,148.75,67.0,14.0
R3_L6D_3kg_envelope,purchased_envelope,115.75,42.0,14.0,145.75,172.0,36.0
R3_cell_loaded_spacer,metal_fabrication,115.75,147.0,36.0,145.75,172.0,48.0
